trial_type,ssd,observed_rt,ss_rt,outcome,participant_id
go,,563.0238455047116,,go,2
stop,320.0,603.7662239155412,131.5039807322454,stop-respond,2
go,,424.370980371614,,go,2
go,,492.2879681881658,,go,2
go,,472.00229264389503,,go,2
go,,368.42659141361634,,go,2
stop,320.0,639.040323170296,375.8635131287706,stop-respond,2
go,,446.62067160101014,,go,2
go,,468.59403410414615,,go,2
go,,708.4275770731629,,go,2
go,,474.9611469259427,,go,2
stop,400.0,465.8115848318328,388.6472258690793,stop-respond,2
go,,476.40842425125464,,go,2
go,,557.6978648929546,,go,2
go,,540.7219310470226,,go,2
go,,334.8345626357565,,go,2
stop,320.0,523.3959822920524,542.65575735669,stop-respond,2
go,,624.7636068838633,,go,2
go,,444.0990180120626,,go,2
go,,570.9381935328679,,go,2
go,,406.66563041947194,,go,2
stop,160.0,626.134788505879,412.6008767212114,stop-respond,2
go,,399.2182713372127,,go,2
go,,534.4447809373512,,go,2
go,,635.6293039853481,,go,2
go,,624.4453793231812,,go,2
stop,480.0,564.5786140234368,334.80868876868794,stop-respond,2
go,,767.0124432109789,,go,2
go,,269.4542932862139,,go,2
go,,518.3564944590772,,go,2
go,,518.7913427977642,,go,2
stop,240.0,602.034342271546,433.4688684362581,stop-respond,2
go,,733.0921065181141,,go,2
go,,623.9491383394549,,go,2
go,,605.3559557585879,,go,2
go,,219.97387446503788,,go,2
stop,400.0,505.68850961096695,250.85511381461893,stop-respond,2
go,,577.6461266791273,,go,2
go,,565.5795758616794,,go,2
go,,621.0768801342091,,go,2
go,,695.9177622735992,,go,2
stop,240.0,579.0451799965263,288.25827605782354,stop-respond,2
go,,578.2038439361354,,go,3
go,,548.0571542419578,,go,3
go,,408.17993007929255,,go,3
go,,484.9550409631524,,go,3
stop,480.0,536.336455169806,300.0071733670221,stop-respond,3
go,,592.9962482203775,,go,3
go,,563.5643680722844,,go,3
go,,487.71771666229125,,go,3
go,,474.4614148759369,,go,3
stop,80.0,,316.416960642044,successful inhibition,3
go,,508.7933231146659,,go,3
go,,538.8737871953565,,go,3
go,,589.458804569117,,go,3
go,,617.2580806595255,,go,3
stop,160.0,,271.261736341259,successful inhibition,3
go,,597.8657747142641,,go,3
go,,600.4488079165928,,go,3
go,,477.32583457926586,,go,3
go,,546.9913858093253,,go,3
stop,400.0,533.8334605552521,193.47425741909856,stop-respond,3
go,,580.8574771440353,,go,3
go,,519.3397461094111,,go,3
go,,568.7683685995839,,go,3
go,,555.4991397954908,,go,3
stop,80.0,,269.6216187674354,successful inhibition,3
go,,537.1390502309681,,go,3
go,,533.5857326040975,,go,3
go,,544.7336495635226,,go,3
go,,577.7885030513312,,go,3
stop,480.0,453.4949787134097,492.2917042993538,stop-respond,3
go,,522.6056966569172,,go,3
go,,541.6966628016953,,go,3
go,,435.8813033624751,,go,3
go,,530.0704304535018,,go,3
stop,480.0,556.5080430205826,414.26691741533773,stop-respond,3
go,,621.221060728981,,go,3
go,,503.80625457734374,,go,3
go,,497.4712070698868,,go,3
go,,470.0920590540954,,go,3
stop,80.0,515.012295298736,482.5447683629854,stop-respond,3
go,,584.5599791828935,,go,3
go,,512.9499931598937,,go,3
go,,619.4859850103757,,go,3
go,,560.4828871068838,,go,3
stop,160.0,,272.6345601383023,successful inhibition,3
go,,505.6754175661044,,go,3
go,,484.80692581564676,,go,3
go,,549.7058828820371,,go,3
go,,429.12413660194505,,go,3
stop,240.0,528.1074070865516,306.90209063374454,stop-respond,3
go,,1087.2622776637747,,go,4
go,,539.2669374600567,,go,4
go,,1180.022378616914,,go,4
go,,677.8224408278315,,go,4
stop,320.0,1314.125930588982,204.72202666044575,stop-respond,4
go,,651.0663449394024,,go,4
go,,620.6950041622056,,go,4
go,,854.5107940232479,,go,4
go,,612.1794683690429,,go,4
stop,400.0,530.191032540279,254.90077691061015,stop-respond,4
go,,801.0878224718331,,go,4
go,,626.1814870505577,,go,4
go,,401.67006774418587,,go,4
go,,1010.4358878376745,,go,4
stop,160.0,918.4530408982007,490.7823558045335,stop-respond,4
go,,686.6711884684879,,go,4
go,,589.5658775723435,,go,4
go,,1184.099432483264,,go,4
go,,567.065022401126,,go,4
stop,320.0,1003.1111828586631,300.16753485419076,stop-respond,4
go,,715.9388693889539,,go,4
go,,457.02595237270367,,go,4
go,,892.9622222502281,,go,4
go,,705.5366264663177,,go,4
stop,80.0,1008.297662233711,326.4593377377544,stop-respond,4
go,,1326.6400652334723,,go,4
go,,1039.1543616467916,,go,4
go,,1121.548329139203,,go,4
go,,742.647805239092,,go,4
stop,80.0,475.02161296794407,105.15992426007926,stop-respond,4
go,,707.3422707183001,,go,4
go,,569.2834021965704,,go,4
go,,684.4232169394562,,go,4
go,,550.0178674260053,,go,4
stop,240.0,356.1401042699714,299.3283144842779,stop-respond,4
go,,494.03874741885596,,go,4
go,,481.5661597440584,,go,4
go,,639.2616368701387,,go,4
go,,530.4332152720758,,go,4
stop,320.0,644.9938143484263,190.90676312376874,stop-respond,4
go,,621.5318042676936,,go,4
go,,790.0851974310798,,go,4
go,,429.7905628592504,,go,4
go,,708.6832036985404,,go,4
stop,160.0,592.7583808167063,247.25872795737848,stop-respond,4
go,,464.26911709072886,,go,4
go,,873.8695482113495,,go,4
go,,580.4611955040293,,go,4
go,,499.32180325989884,,go,4
stop,480.0,343.7887424601423,382.41436101751975,stop-respond,4
go,,731.3740057660038,,go,5
go,,1337.2963713503764,,go,5
go,,566.6235158323864,,go,5
go,,552.4842007573751,,go,5
stop,80.0,,170.44579015344738,successful inhibition,5
go,,776.4666912883383,,go,5
go,,635.0430855610366,,go,5
go,,703.8786945257826,,go,5
go,,767.0932789897464,,go,5
stop,160.0,776.5447450658595,155.6615429239381,stop-respond,5
go,,968.4354104954541,,go,5
go,,734.9440778267169,,go,5
go,,973.1238806736394,,go,5
go,,1225.5347255360239,,go,5
stop,320.0,,198.28249040189655,successful inhibition,5
go,,719.0946856418308,,go,5
go,,745.7624741470352,,go,5
go,,829.4783739075241,,go,5
go,,1250.9332755356127,,go,5
stop,80.0,667.0102969436855,252.6505483085419,stop-respond,5
go,,472.31927377203687,,go,5
go,,664.1689089622645,,go,5
go,,469.9833261263517,,go,5
go,,760.5743505181183,,go,5
stop,160.0,,148.19223715299637,successful inhibition,5
go,,751.5143142406512,,go,5
go,,746.3973625743171,,go,5
go,,853.4367334006438,,go,5
go,,852.0143565960977,,go,5
stop,480.0,,156.68633046058454,successful inhibition,5
go,,1099.7727090723126,,go,5
go,,671.150057312189,,go,5
go,,859.369467181774,,go,5
go,,474.19233044018597,,go,5
stop,320.0,,208.84836154024373,successful inhibition,5
go,,577.7139812278539,,go,5
go,,730.5107224740676,,go,5
go,,1168.1773459558704,,go,5
go,,652.1857382217829,,go,5
stop,400.0,,111.74628309707799,successful inhibition,5
go,,643.5236843212562,,go,5
go,,194.8383529566422,,go,5
go,,729.9316166642294,,go,5
go,,1045.4916298058383,,go,5
stop,80.0,,177.27005812305975,successful inhibition,5
go,,1031.424261770391,,go,5
go,,733.8853897312202,,go,5
go,,636.1711366418498,,go,5
go,,512.3360236169381,,go,5
stop,160.0,1171.5379967643462,143.34648630567966,stop-respond,5
go,,761.1407368281205,,go,6
go,,760.5591424636696,,go,6
go,,551.4064406911709,,go,6
go,,580.1857462676606,,go,6
stop,480.0,548.333408547322,61.50225518824496,stop-respond,6
go,,707.9616837736521,,go,6
go,,626.2478978383938,,go,6
go,,554.9108319393704,,go,6
go,,776.2229746272376,,go,6
stop,320.0,1058.8273039489045,383.92667616859,stop-respond,6
go,,676.8407539918051,,go,6
go,,670.1539224022056,,go,6
go,,649.3242138396367,,go,6
go,,732.3738019186516,,go,6
stop,160.0,583.9774933196144,81.57432795916887,stop-respond,6
go,,606.5137313574369,,go,6
go,,654.2728397350558,,go,6
go,,544.6645807131702,,go,6
go,,503.26963366404914,,go,6
stop,240.0,862.0663823405356,269.9618611225046,stop-respond,6
go,,723.6234157735867,,go,6
go,,515.8080344234692,,go,6
go,,723.0230472523576,,go,6
go,,643.0544815608937,,go,6
stop,320.0,997.2887499944072,142.51157235951592,stop-respond,6
go,,635.8046210939121,,go,6
go,,655.8319240972728,,go,6
go,,643.5900160606323,,go,6
go,,630.6793794297727,,go,6
stop,160.0,676.3917605010282,235.50268259427585,stop-respond,6
go,,694.7264875433677,,go,6
go,,699.7897038228227,,go,6
go,,821.4144183005949,,go,6
go,,576.6342738027665,,go,6
stop,480.0,473.5388604676467,269.2020542090338,stop-respond,6
go,,793.9656755294675,,go,6
go,,631.9047591027384,,go,6
go,,698.5952020930474,,go,6
go,,637.3916214549951,,go,6
stop,160.0,956.1099536878273,229.74233848398947,stop-respond,6
go,,749.0394974139597,,go,6
go,,632.7796525023824,,go,6
go,,850.7875133413127,,go,6
go,,770.4706318218595,,go,6
stop,240.0,630.2251388527504,241.90961738443696,stop-respond,6
go,,519.1074818388679,,go,6
go,,690.5288785029078,,go,6
go,,764.0925200572955,,go,6
go,,763.8388624258713,,go,6
stop,240.0,623.6156071112354,172.06769499185808,stop-respond,6
go,,589.6976743946379,,go,7
go,,606.4920207443685,,go,7
go,,613.70755406174,,go,7
go,,673.9287618488839,,go,7
stop,160.0,,359.4358909522276,successful inhibition,7
go,,607.7995095312424,,go,7
go,,613.7819051149672,,go,7
go,,564.7633189877982,,go,7
go,,563.0357738765648,,go,7
stop,400.0,518.4988407531827,269.16133906952854,stop-respond,7
go,,635.8931185290459,,go,7
go,,572.7858740480411,,go,7
go,,551.0238728881308,,go,7
go,,699.2987587057135,,go,7
stop,160.0,,254.8796910120728,successful inhibition,7
go,,604.1187682440175,,go,7
go,,608.8652466193136,,go,7
go,,524.936143554738,,go,7
go,,670.9521546196133,,go,7
stop,400.0,,210.4089473888589,successful inhibition,7
go,,600.3644043091444,,go,7
go,,547.2756876339013,,go,7
go,,584.7023907959993,,go,7
go,,563.9285693713296,,go,7
stop,160.0,,187.17346045757193,successful inhibition,7
go,,528.1075543687549,,go,7
go,,706.5307961231455,,go,7
go,,568.5295679250688,,go,7
go,,569.8603804726,,go,7
stop,80.0,,314.355091254402,successful inhibition,7
go,,600.8211041284909,,go,7
go,,571.2228414315133,,go,7
go,,620.8648665737923,,go,7
go,,655.962246217356,,go,7
stop,320.0,508.89590812935137,265.2847207881207,stop-respond,7
go,,663.7304447863299,,go,7
go,,740.3676158418867,,go,7
go,,566.0130285414406,,go,7
go,,553.2660074722301,,go,7
stop,160.0,639.070883983418,334.38212015513824,stop-respond,7
go,,571.7610146758327,,go,7
go,,644.5405739979758,,go,7
go,,581.7996632131587,,go,7
go,,555.2538403496843,,go,7
stop,480.0,,167.5849781838502,successful inhibition,7
go,,546.5783252651586,,go,7
go,,545.6750507229182,,go,7
go,,587.9821429162139,,go,7
go,,568.4214580872,,go,7
stop,160.0,518.5744861000724,252.6224795109606,stop-respond,7
go,,482.1810710501722,,go,8
go,,829.5057198084332,,go,8
go,,585.0464113418816,,go,8
go,,851.4620285924813,,go,8
stop,400.0,484.0699579180397,313.89106133992976,stop-respond,8
go,,719.2091649248861,,go,8
go,,640.1135050664137,,go,8
go,,414.8039575818598,,go,8
go,,527.6603275531112,,go,8
stop,400.0,590.2943798184804,241.52016941756037,stop-respond,8
go,,660.6871865974323,,go,8
go,,506.72090352758727,,go,8
go,,889.8831469771919,,go,8
go,,764.4749985781812,,go,8
stop,240.0,,242.15526150135395,successful inhibition,8
go,,540.7298831675818,,go,8
go,,450.56575439188595,,go,8
go,,496.8241013379054,,go,8
go,,446.55758572176035,,go,8
stop,320.0,562.5275721338071,457.8231206902444,stop-respond,8
go,,476.6829432367692,,go,8
go,,620.0973244033796,,go,8
go,,587.7440094695781,,go,8
go,,532.7075965596032,,go,8
stop,320.0,533.5025409689633,267.7783300921122,stop-respond,8
go,,780.3854804945252,,go,8
go,,313.74392472754306,,go,8
go,,438.1399473431156,,go,8
go,,536.8988106779336,,go,8
stop,80.0,,267.34194580976396,successful inhibition,8
go,,621.9567861603205,,go,8
go,,453.1031131553701,,go,8
go,,912.094677317586,,go,8
go,,507.6629530429095,,go,8
stop,240.0,185.90320478011517,269.40467842438943,stop-respond,8
go,,797.2755212072564,,go,8
go,,468.58069921414057,,go,8
go,,897.9849532433043,,go,8
go,,504.2900081890798,,go,8
stop,320.0,536.2168363055426,339.9083013660688,stop-respond,8
go,,402.2647478673727,,go,8
go,,493.89152594761833,,go,8
go,,629.1171912086024,,go,8
go,,441.545877940892,,go,8
stop,320.0,589.8496602105957,230.62457443912734,stop-respond,8
go,,564.5933203967707,,go,8
go,,458.4883034203236,,go,8
go,,746.4217677888832,,go,8
go,,678.3050791810219,,go,8
stop,400.0,410.5272265297344,269.4245615420587,stop-respond,8
go,,519.1324426638048,,go,9
go,,453.854191162702,,go,9
go,,674.8553843108698,,go,9
go,,650.123172209367,,go,9
stop,480.0,833.1292481142672,483.3273741830422,stop-respond,9
go,,637.745561090769,,go,9
go,,620.2468985833799,,go,9
go,,656.187085257277,,go,9
go,,530.0757947115704,,go,9
stop,80.0,,279.00827010993197,successful inhibition,9
go,,479.9019476375401,,go,9
go,,663.2384667560905,,go,9
go,,632.1303870200959,,go,9
go,,1039.1382396088045,,go,9
stop,240.0,571.7542897324889,411.5246469955329,stop-respond,9
go,,450.5614436366472,,go,9
go,,550.961577474197,,go,9
go,,573.4451439512857,,go,9
go,,663.5412641672726,,go,9
stop,480.0,533.969144967082,230.09622509591668,stop-respond,9
go,,465.59062693247176,,go,9
go,,640.6033455641617,,go,9
go,,358.85922589644343,,go,9
go,,276.61670017639096,,go,9
stop,80.0,,313.85068419827996,successful inhibition,9
go,,568.3219050388213,,go,9
go,,452.7246301841902,,go,9
go,,556.9356844996141,,go,9
go,,735.2488259054373,,go,9
stop,320.0,,276.95726537728075,successful inhibition,9
go,,706.1599655715673,,go,9
go,,571.0348638384705,,go,9
go,,442.5021124875959,,go,9
go,,559.2564452618649,,go,9
stop,80.0,,408.99233626719587,successful inhibition,9
go,,665.17128624347,,go,9
go,,606.8249898359334,,go,9
go,,817.6196342876822,,go,9
go,,509.01182809662714,,go,9
stop,240.0,469.57455392089497,416.4574950300838,stop-respond,9
go,,399.638268442729,,go,9
go,,687.8865943604214,,go,9
go,,372.1607628276048,,go,9
go,,556.1160417206248,,go,9
stop,480.0,423.99449695226207,191.40036846550572,stop-respond,9
go,,499.95256754201046,,go,9
go,,476.42531591456304,,go,9
go,,505.03483874707536,,go,9
go,,507.25057731341593,,go,9
stop,80.0,,317.81749564980396,successful inhibition,9
go,,523.6722638809134,,go,10
go,,502.1041422201881,,go,10
go,,689.1693822023459,,go,10
go,,644.9029590986482,,go,10
stop,320.0,696.6768923968597,341.40862049499873,stop-respond,10
go,,604.4853638811214,,go,10
go,,673.6838012632908,,go,10
go,,555.1006626352935,,go,10
go,,569.6816227248912,,go,10
stop,160.0,774.9415079500855,219.92266503004944,stop-respond,10
go,,724.3807904712908,,go,10
go,,551.5453272032806,,go,10
go,,609.0144829024058,,go,10
go,,610.7957701411228,,go,10
stop,160.0,,282.5121254259723,successful inhibition,10
go,,741.9833295142532,,go,10
go,,763.5031776420537,,go,10
go,,649.5215951602572,,go,10
go,,575.6779146517069,,go,10
stop,160.0,642.5127656633505,225.279864432202,stop-respond,10
go,,636.2635189746227,,go,10
go,,624.411415220012,,go,10
go,,680.794030658149,,go,10
go,,691.0088299382577,,go,10
stop,400.0,664.7758990696921,232.04887151204898,stop-respond,10
go,,611.2663868266177,,go,10
go,,904.3757253367937,,go,10
go,,724.0872317478779,,go,10
go,,585.5706730633348,,go,10
stop,400.0,920.3559643572953,264.8667331110189,stop-respond,10
go,,633.7278902201875,,go,10
go,,560.1863276370732,,go,10
go,,669.2961644878459,,go,10
go,,863.1215639159643,,go,10
stop,320.0,544.7126769151836,208.04752457019464,stop-respond,10
go,,575.5800530448959,,go,10
go,,729.5342424447758,,go,10
go,,788.6664231025609,,go,10
go,,676.9450866768858,,go,10
stop,400.0,,133.27651469089983,successful inhibition,10
go,,589.04177941031,,go,10
go,,686.4318957267317,,go,10
go,,718.1867094080825,,go,10
go,,756.2606045802668,,go,10
stop,80.0,557.3941061175955,233.46401613201564,stop-respond,10
go,,522.883440067072,,go,10
go,,599.7510131600994,,go,10
go,,634.5615745385426,,go,10
go,,585.7285998326031,,go,10
stop,480.0,567.1488052541355,174.08951020203253,stop-respond,10
go,,464.1921621221796,,go,11
go,,326.17683309473034,,go,11
go,,478.6906432309214,,go,11
go,,525.8521018938676,,go,11
stop,480.0,394.03501640232685,142.0891507397136,stop-respond,11
go,,512.1210032416134,,go,11
go,,438.3635307599517,,go,11
go,,349.64320755849985,,go,11
go,,392.70832748593,,go,11
stop,160.0,,217.89205743504897,successful inhibition,11
go,,449.250473508064,,go,11
go,,484.60838941657397,,go,11
go,,530.6841221527271,,go,11
go,,383.21669035344667,,go,11
stop,480.0,,74.4740405937272,successful inhibition,11
go,,500.4018078733309,,go,11
go,,518.1169957314069,,go,11
go,,485.84046589028026,,go,11
go,,211.8162933610247,,go,11
stop,400.0,362.32133476684464,161.33268710250505,stop-respond,11
go,,514.8979756878332,,go,11
go,,542.691941344442,,go,11
go,,421.20873964838773,,go,11
go,,398.3068589145153,,go,11
stop,320.0,406.3809441477706,134.4857917606203,stop-respond,11
go,,497.0545605885319,,go,11
go,,470.0707489227541,,go,11
go,,475.4129625813571,,go,11
go,,365.9210755045021,,go,11
stop,320.0,537.1561783367946,257.09197772678914,stop-respond,11
go,,559.9261274082926,,go,11
go,,595.7592732349426,,go,11
go,,490.54299480433036,,go,11
go,,422.55991057227163,,go,11
stop,80.0,,225.6516579980961,successful inhibition,11
go,,348.18647743558813,,go,11
go,,181.3937308801252,,go,11
go,,531.8411316416297,,go,11
go,,466.94058323940504,,go,11
stop,80.0,,211.7671699451152,successful inhibition,11
go,,387.75384014623586,,go,11
go,,519.1593062936024,,go,11
go,,546.4107634147391,,go,11
go,,370.8530832079423,,go,11
stop,160.0,,222.11937001813294,successful inhibition,11
go,,493.53798936491364,,go,11
go,,445.82620364741746,,go,11
go,,618.9627206007742,,go,11
go,,278.82760842596565,,go,11
stop,160.0,,46.127131940672385,successful inhibition,11
go,,581.8786607655044,,go,12
go,,388.3106630328117,,go,12
go,,384.40717460626604,,go,12
go,,428.31651354166956,,go,12
stop,320.0,438.55450389884055,193.04816967136296,stop-respond,12
go,,469.8549191075605,,go,12
go,,528.6134934403327,,go,12
go,,390.6847852233187,,go,12
go,,602.4174473346839,,go,12
stop,240.0,,196.75966266262608,successful inhibition,12
go,,657.8194669267502,,go,12
go,,270.7893456176586,,go,12
go,,307.3335022085362,,go,12
go,,692.0933654181922,,go,12
stop,240.0,231.33902162455516,261.6792709127417,stop-respond,12
go,,432.1086933546878,,go,12
go,,496.57509434635733,,go,12
go,,505.8414537158799,,go,12
go,,208.6136386394635,,go,12
stop,320.0,430.3490197416781,259.6349969582158,stop-respond,12
go,,546.9431105974502,,go,12
go,,451.70342898775414,,go,12
go,,363.22778123294825,,go,12
go,,410.2867524281136,,go,12
stop,240.0,,217.1398521762504,successful inhibition,12
go,,444.45604239128073,,go,12
go,,365.46131208520967,,go,12
go,,269.4941147897901,,go,12
go,,325.7107235040264,,go,12
stop,160.0,,292.19225268308514,successful inhibition,12
go,,696.3116233679817,,go,12
go,,289.8535937431538,,go,12
go,,352.24840830280357,,go,12
go,,522.4772774823858,,go,12
stop,480.0,201.33937605429085,194.17756161749756,stop-respond,12
go,,503.60245143661433,,go,12
go,,478.2724342750174,,go,12
go,,434.55597978817957,,go,12
go,,529.2499939890656,,go,12
stop,320.0,311.75402579657947,227.14142476572545,stop-respond,12
go,,514.4148618442955,,go,12
go,,375.5614426508461,,go,12
go,,510.6270124858578,,go,12
go,,569.6870955304058,,go,12
stop,400.0,308.765991585661,112.34061871777811,stop-respond,12
go,,362.46160877664653,,go,12
go,,464.5138398371422,,go,12
go,,330.1954131470855,,go,12
go,,529.5071036458282,,go,12
stop,320.0,,221.78457465269398,successful inhibition,12
go,,475.27442504542415,,go,13
go,,571.9031805150712,,go,13
go,,607.7998371182583,,go,13
go,,524.5246910045566,,go,13
stop,80.0,420.7845947911227,359.722958558982,stop-respond,13
go,,501.8122137062846,,go,13
go,,502.39197205364934,,go,13
go,,580.9623909066245,,go,13
go,,537.046128807914,,go,13
stop,160.0,681.3403395024176,281.50535828935443,stop-respond,13
go,,548.0022029347184,,go,13
go,,614.547358283295,,go,13
go,,522.1016025016946,,go,13
go,,551.1546685316183,,go,13
stop,480.0,544.3535502490204,595.9485834549823,stop-respond,13
go,,523.5910017807906,,go,13
go,,652.0960724648204,,go,13
go,,530.5732527943227,,go,13
go,,393.268794139938,,go,13
stop,480.0,538.8159919303246,311.7768729708862,stop-respond,13
go,,530.4554471489254,,go,13
go,,553.2556948192857,,go,13
go,,602.4359468387056,,go,13
go,,469.5761409035654,,go,13
stop,320.0,594.1849672642027,489.0324399932663,stop-respond,13
go,,589.0525261500673,,go,13
go,,536.0653413786055,,go,13
go,,564.2423228848294,,go,13
go,,456.735628993763,,go,13
stop,160.0,470.37079820767144,371.3118564028305,stop-respond,13
go,,479.4776694707328,,go,13
go,,565.4303468251808,,go,13
go,,532.534250814497,,go,13
go,,462.56856235616544,,go,13
stop,400.0,514.0805071376386,364.93472768899403,stop-respond,13
go,,453.2288936430805,,go,13
go,,536.6773116146866,,go,13
go,,518.426104500884,,go,13
go,,463.65219731600723,,go,13
stop,400.0,611.0507112443371,435.8331134983422,stop-respond,13
go,,456.3102838903005,,go,13
go,,672.1509102939457,,go,13
go,,667.1176850219505,,go,13
go,,531.2635971403566,,go,13
stop,320.0,450.18536769271907,405.0030090059881,stop-respond,13
go,,671.9761716964512,,go,13
go,,650.2701307158999,,go,13
go,,533.2320076358001,,go,13
go,,527.6508127077556,,go,13
stop,80.0,579.4083152340955,312.049271543622,stop-respond,13
go,,470.65773354976534,,go,14
go,,569.1533662814693,,go,14
go,,439.7703756309773,,go,14
go,,726.7826905178993,,go,14
stop,240.0,,93.13535650952056,successful inhibition,14
go,,483.9786903683835,,go,14
go,,603.0273364355025,,go,14
go,,411.8658194888445,,go,14
go,,506.7242840930567,,go,14
stop,240.0,,148.14455548032063,successful inhibition,14
go,,508.940742901021,,go,14
go,,598.2859963416067,,go,14
go,,553.2739762447031,,go,14
go,,516.1282842234284,,go,14
stop,400.0,,124.4129388459037,successful inhibition,14
go,,552.8443148459339,,go,14
go,,512.6382580468004,,go,14
go,,519.0595050862622,,go,14
go,,568.3943721921046,,go,14
stop,80.0,,113.67329043276396,successful inhibition,14
go,,564.2522050150502,,go,14
go,,405.8318187431362,,go,14
go,,412.75600216657455,,go,14
go,,683.1210816882606,,go,14
stop,80.0,,107.68008886543952,successful inhibition,14
go,,475.9135290420738,,go,14
go,,510.2940261020218,,go,14
go,,514.563540701343,,go,14
go,,538.5696239061435,,go,14
stop,400.0,,117.26603880912364,successful inhibition,14
go,,555.3217841952141,,go,14
go,,503.43665124913883,,go,14
go,,507.5457999351261,,go,14
go,,486.71020414728866,,go,14
stop,240.0,,150.69321744152933,successful inhibition,14
go,,570.4650665067177,,go,14
go,,524.9660385361732,,go,14
go,,680.0405678194181,,go,14
go,,456.8644836956404,,go,14
stop,480.0,433.16995621017395,70.46508791284155,stop-respond,14
go,,518.0052110711646,,go,14
go,,509.3045589881792,,go,14
go,,591.623949606389,,go,14
go,,452.60512539698374,,go,14
stop,400.0,,127.57032759757544,successful inhibition,14
go,,534.5320510753137,,go,14
go,,489.6665526974466,,go,14
go,,409.4528462943217,,go,14
go,,532.6848922043816,,go,14
stop,240.0,,151.92008420351414,successful inhibition,14
go,,435.2826227315192,,go,15
